storeID,product_id,ItemQuantity,price_per_unit,itemDesc,stocked_in,VendorId
1,101,70,12.5,Wheat Flour 5kg,10/01/2024,3
1,102,90,15,Cooking Oil 1L,12/01/2024,1
1,103,100,18.75,Basmati Rice 2kg,05/01/2024,2
1,104,80,6,Toilet Paper 4-pack,15/01/2024,4
1,105,60,3.5,Salt 1kg,08/01/2024,2
1,106,75,4.25,Sugar 1kg,09/01/2024,5
1,107,95,10,Tea 500g,14/01/2024,3
1,108,70,14,Milk Powder 1kg,06/01/2024,1
1,109,85,6.75,Lentils 1kg,13/01/2024,4
1,110,110,7.8,Biscuits Pack,11/01/2024,2
1,111,150,5.25,Chickpeas 1kg,07/01/2024,3
1,112,130,8,Pasta 500g,04/01/2024,4
1,113,110,20,Olive Oil 500ml,03/01/2024,2
1,114,140,3,Tomato Ketchup 500g,02/01/2024,1
1,115,160,9.5,Cheese 200g,11/01/2024,5
1,116,90,11,Butter 250g,12/01/2024,3
1,117,70,17.5,Vanilla Extract 100ml,10/01/2024,2
1,118,120,7.2,Bread 400g,14/01/2024,4
1,119,100,5.5,Peas 1kg,09/01/2024,1
1,120,80,2.8,Onions 1kg,15/01/2024,5
1,121,90,5.25,Potatoes 1kg,05/01/2024,2
1,122,75,13,Chocolates 300g,07/01/2024,1
1,123,130,11.5,Coffee 250g,06/01/2024,4
1,124,140,10,Milk 1L,14/01/2024,3
1,125,110,14.25,Cornflakes 500g,08/01/2024,5
1,126,85,16,Juice 1L,12/01/2024,2
1,127,100,4,Spices Mix 200g,13/01/2024,3
1,128,90,9.25,Honey 500g,05/01/2024,4
1,129,120,22,Coconut Oil 1L,09/01/2024,1
1,130,100,12.5,Flour 1kg,03/01/2024,5
1,131,95,14,Ice Cream 500g,06/01/2024,2
1,132,85,3.75,Rice 5kg,10/01/2024,4
1,133,90,4.5,Mustard Oil 1L,12/01/2024,5
1,134,110,7.8,Garlic 500g,11/01/2024,2
1,135,130,5.2,Banana 1kg,07/01/2024,1
1,136,140,18.75,Dates 500g,09/01/2024,4
1,137,100,3,Chili Powder 100g,06/01/2024,5
1,138,75,15,Cabbage 1kg,10/01/2024,3
1,139,120,8,Carrot 1kg,14/01/2024,2
1,140,80,6.5,Green Beans 1kg,05/01/2024,4
1,141,130,7.5,Garlic Paste 100g,08/01/2024,1
1,142,110,12,Olives 200g,09/01/2024,5
1,143,120,9,Spinach 500g,12/01/2024,2
1,144,100,6.75,Cucumber 1kg,07/01/2024,4
1,145,90,10.5,Zucchini 1kg,10/01/2024,1
1,146,110,13.5,Watermelon 1kg,13/01/2024,3
1,147,100,5,Melon 1kg,11/01/2024,5
1,148,120,12,Apple 1kg,15/01/2024,2
1,149,75,10,Orange 1kg,03/01/2024,4
1,150,130,8.5,Pineapple 1kg,06/01/2024,1
1,151,110,7,Peach 1kg,08/01/2024,3
1,152,90,9.25,Plum 1kg,12/01/2024,2
1,153,120,5.5,Strawberry 500g,11/01/2024,4
1,154,130,8,Avocado 1kg,09/01/2024,5
1,155,85,6.25,Lemon 1kg,14/01/2024,2
1,156,95,7.75,Tomato 1kg,05/01/2024,3
1,157,120,5,Peach 500g,13/01/2024,4
1,158,100,6,Pomegranate 500g,10/01/2024,5
1,159,110,4.5,Kiwi 500g,07/01/2024,1
1,160,130,13.5,Plum 500g,05/04/2025,2